1.156640587157584399e+01 1.386302751070055450e+01 1.372525639401178665e+01 1.280273664853822169e+01 1.224667208506098426e+01 1.232711899342121598e+01 1.500969516108938961e+01 1.439969621986643666e+01 1.421625081676218905e+01 1.291222039262716770e+01 1.161482378570091711e+01 1.420576872060691542e+01 1.427020013711230106e+01 1.399584588055839518e+01 1.213448265231063594e+01
1.175696999565866641e+01 1.336640811405919749e+01 1.372763665901916319e+01 1.303444487638655858e+01 1.238666139964120383e+01 1.220102482007771982e+01 1.438624528378529632e+01 1.500509557218325085e+01 1.434322384047555943e+01 1.330317872819148306e+01 1.214364313408791496e+01 1.368785611295318994e+01 1.443830079290394508e+01 1.413818106825333487e+01 1.275228524636910343e+01
1.177551951088748439e+01 1.225939104909803667e+01 1.375819959283681015e+01 1.345295487246427335e+01 1.265931886471982537e+01 1.261631634092377041e+01 1.328576524590137886e+01 1.478536575016570609e+01 1.453051200981215096e+01 1.404429893282266839e+01 1.253021082225510874e+01 1.278633807658149202e+01 1.445456679390616550e+01 1.433391026152320613e+01 1.348195759439348507e+01
1.234678466433692456e+01 1.230842993693410214e+01 1.351354583447115232e+01 1.390395884474494537e+01 1.301648965004861047e+01 1.285944315031170682e+01 1.246364272711787002e+01 1.458438307822624580e+01 1.455196154379429707e+01 1.395585830875023348e+01 1.280768796453332570e+01 1.242876443561826605e+01 1.408028998512510199e+01 1.433128318192376582e+01 1.393324492001675274e+01
1.235913051967152221e+01 1.204792906523440088e+01 1.277593161902039576e+01 1.384492816173395724e+01 1.339678700783197840e+01 1.345334036557740731e+01 1.257281600207440242e+01 1.358303947384216670e+01 1.478044466361837017e+01 1.378514867486351037e+01 1.354744901542780511e+01 1.256403246285423236e+01 1.365062245990183953e+01 1.474473784304360535e+01 1.409462992639877577e+01
1.327311643071452352e+01 1.238399063406416367e+01 1.270539775645093883e+01 1.367691304693135557e+01 1.383333771259691147e+01 1.365723980655444514e+01 1.254729486010390538e+01 1.305609010996951547e+01 1.424345360396750060e+01 1.381647481740251671e+01 1.388214512889935470e+01 1.296727662655738911e+01 1.322787699039862197e+01 1.444370318558070565e+01 1.450593459213077097e+01
1.342242098488054225e+01 1.256828181686627488e+01 1.261922834904170898e+01 1.344779569170542466e+01 1.415258602526890463e+01 1.350463619717373120e+01 1.279030129775542157e+01 1.248709479529851585e+01 1.383174783490917292e+01 1.424708952493998737e+01 1.407307069572860314e+01 1.306116278929417263e+01 1.278905107026875854e+01 1.416557587771835003e+01 1.470440518865014390e+01
1.371661508697886411e+01 1.312343657680967723e+01 1.246239335987600860e+01 1.304792336598480773e+01 1.426496690320970018e+01 1.358356528004058283e+01 1.301301721002497125e+01 1.228496611449580733e+01 1.328425895602651963e+01 1.390804373132163541e+01 1.414760687497397562e+01 1.340928109617580688e+01 1.259166388650513113e+01 1.388036489762501446e+01 1.463647461247740900e+01
1.404395053184453168e+01 1.326305771239482212e+01 1.247661207817185414e+01 1.282970859345300063e+01 1.388442981574514512e+01 1.393594816379690826e+01 1.305075212756462655e+01 1.244191391834490901e+01 1.267266898345221904e+01 1.379416371877655756e+01 1.398432581755068504e+01 1.374942323417493029e+01 1.311514531484682067e+01 1.341131044799145045e+01 1.460111470364297048e+01
1.430109854585169060e+01 1.396353648851934537e+01 1.278057678958021270e+01 1.249844727009565659e+01 1.342942348665389751e+01 1.386488736395435950e+01 1.350445627243727209e+01 1.253340745243181864e+01 1.241495890913319222e+01 1.360361548409138344e+01 1.449964021237065381e+01 1.410310038240274721e+01 1.306275283842130008e+01 1.283833763171782749e+01 1.378021200644721489e+01
