# x, y, corr
0.7000 0.4000 0.0184
0.8000 0.4000 -0.0072
0.9000 0.4000 0.0377
1.0000 0.4000 0.0569
1.1000 0.4000 0.0443
1.2000 0.4000 0.0224
1.3000 0.4000 0.0469
1.4000 0.4000 0.0537
1.5000 0.4000 0.0496
1.6000 0.4000 0.0471
1.7000 0.4000 0.0001
1.8000 0.4000 -0.0059
1.9000 0.4000 0.0171
2.0000 0.4000 0.0231
2.1000 0.4000 0.0466
2.2000 0.4000 0.0918
2.3000 0.4000 0.0686
2.4000 0.4000 0.0610
2.5000 0.4000 0.0653
2.6000 0.4000 0.0624
2.7000 0.4000 0.0215
2.8000 0.4000 0.0465
2.9000 0.4000 0.0319
3.0000 0.4000 -0.0151
3.1000 0.4000 -0.0396
3.2000 0.4000 -0.0418
3.3000 0.4000 -0.0392
3.4000 0.4000 -0.0635
3.5000 0.4000 -0.1196
3.6000 0.4000 -0.1951
3.7000 0.4000 -0.1766
3.8000 0.4000 -0.1736
3.9000 0.4000 -0.1465
4.0000 0.4000 -0.0792
4.1000 0.4000 -0.0646
4.2000 0.4000 -0.0091
4.3000 0.4000 -0.0021
4.4000 0.4000 0.0134
4.5000 0.4000 0.0433
4.6000 0.4000 0.0661
4.7000 0.4000 0.0825
4.8000 0.4000 0.0598
4.9000 0.4000 0.0367
0.0000 0.5000 0.0219
0.1000 0.5000 0.0495
0.2000 0.5000 0.0255
0.3000 0.5000 0.0759
0.4000 0.5000 0.0977
0.5000 0.5000 0.0736
0.6000 0.5000 0.0220
0.7000 0.5000 -0.0353
0.8000 0.5000 -0.0020
0.9000 0.5000 0.0418
1.0000 0.5000 0.0531
1.1000 0.5000 0.0371
1.2000 0.5000 0.0026
1.3000 0.5000 0.0252
1.4000 0.5000 0.0254
1.5000 0.5000 0.0282
1.6000 0.5000 0.0242
1.7000 0.5000 -0.0062
1.8000 0.5000 -0.0085
1.9000 0.5000 0.0359
2.0000 0.5000 0.0679
2.1000 0.5000 0.0705
2.2000 0.5000 0.0781
2.3000 0.5000 0.1159
2.4000 0.5000 0.1140
2.5000 0.5000 0.1153
2.6000 0.5000 0.0866
2.7000 0.5000 0.0883
2.8000 0.5000 0.1183
2.9000 0.5000 0.0879
3.0000 0.5000 0.0225
3.1000 0.5000 -0.0075
3.2000 0.5000 -0.0339
3.3000 0.5000 -0.0631
3.4000 0.5000 -0.1086
3.5000 0.5000 -0.1480
3.6000 0.5000 -0.1909
3.7000 0.5000 -0.1833
3.8000 0.5000 -0.1743
3.9000 0.5000 -0.1204
4.0000 0.5000 -0.0381
4.1000 0.5000 -0.0305
4.2000 0.5000 -0.0098
4.3000 0.5000 -0.0152
4.4000 0.5000 -0.0141
4.5000 0.5000 -0.0148
4.6000 0.5000 0.0352
4.7000 0.5000 0.0424
4.8000 0.5000 0.0227
4.9000 0.5000 -0.0026
0.0000 0.6000 -0.0195
0.1000 0.6000 0.0180
0.2000 0.6000 0.0485
0.3000 0.6000 0.0918
0.4000 0.6000 0.0983
0.5000 0.6000 0.0717
0.6000 0.6000 0.0405
0.7000 0.6000 0.0148
0.8000 0.6000 0.0212
0.9000 0.6000 0.0697
1.0000 0.6000 0.0484
1.1000 0.6000 -0.0015
1.2000 0.6000 -0.0114
1.3000 0.6000 0.0062
1.4000 0.6000 -0.0015
1.5000 0.6000 -0.0113
1.6000 0.6000 0.0075
1.7000 0.6000 0.0037
1.8000 0.6000 -0.0017
1.9000 0.6000 0.0315
2.0000 0.6000 0.0817
2.1000 0.6000 0.1056
2.2000 0.6000 0.1207
2.3000 0.6000 0.1155
2.4000 0.6000 0.1293
2.5000 0.6000 0.1237
2.6000 0.6000 0.1230
2.7000 0.6000 0.1106
2.8000 0.6000 0.1270
2.9000 0.6000 0.1145
3.0000 0.6000 0.0604
3.1000 0.6000 0.0072
3.2000 0.6000 -0.0368
3.3000 0.6000 -0.0817
3.4000 0.6000 -0.1487
3.5000 0.6000 -0.1687
3.6000 0.6000 -0.1799
3.7000 0.6000 -0.1817
3.8000 0.6000 -0.1620
3.9000 0.6000 -0.1228
4.0000 0.6000 -0.0149
4.1000 0.6000 0.0174
4.2000 0.6000 0.0006
4.3000 0.6000 -0.0311
4.4000 0.6000 -0.0565
4.5000 0.6000 -0.0864
4.6000 0.6000 -0.0211
4.7000 0.6000 -0.0267
4.8000 0.6000 -0.0308
4.9000 0.6000 -0.0528
0.0000 0.7000 -0.0031
0.1000 0.7000 0.0391
0.2000 0.7000 0.0762
0.3000 0.7000 0.1086
0.4000 0.7000 0.1043
0.5000 0.7000 0.0721
0.6000 0.7000 0.0635
0.7000 0.7000 0.0673
0.8000 0.7000 0.0877
0.9000 0.7000 0.0998
1.0000 0.7000 0.0724
1.1000 0.7000 0.0642
1.2000 0.7000 0.0247
1.3000 0.7000 -0.0059
1.4000 0.7000 -0.0201
1.5000 0.7000 -0.0088
1.6000 0.7000 0.0121
1.7000 0.7000 -0.0085
1.8000 0.7000 -0.0286
1.9000 0.7000 0.0142
2.0000 0.7000 0.0681
2.1000 0.7000 0.1217
2.2000 0.7000 0.1128
2.3000 0.7000 0.0904
2.4000 0.7000 0.1231
2.5000 0.7000 0.1165
2.6000 0.7000 0.1284
2.7000 0.7000 0.0926
2.8000 0.7000 0.1290
2.9000 0.7000 0.1421
3.0000 0.7000 0.1335
3.1000 0.7000 0.0820
3.2000 0.7000 0.0048
3.3000 0.7000 -0.0758
3.4000 0.7000 -0.1497
3.5000 0.7000 -0.1826
3.6000 0.7000 -0.1704
3.7000 0.7000 -0.1378
3.8000 0.7000 -0.1363
3.9000 0.7000 -0.1114
4.0000 0.7000 -0.0743
4.1000 0.7000 -0.0330
4.2000 0.7000 -0.0289
4.3000 0.7000 -0.0376
4.4000 0.7000 -0.0688
4.5000 0.7000 -0.0582
4.6000 0.7000 -0.0230
4.7000 0.7000 -0.0178
4.8000 0.7000 -0.0188
4.9000 0.7000 -0.0418
0.0000 0.8000 0.0118
0.1000 0.8000 0.0722
0.2000 0.8000 0.1174
0.3000 0.8000 0.1049
0.4000 0.8000 0.1074
0.5000 0.8000 0.0987
0.6000 0.8000 0.0808
0.7000 0.8000 0.0822
0.8000 0.8000 0.1242
0.9000 0.8000 0.1511
1.0000 0.8000 0.1107
1.1000 0.8000 0.0740
1.2000 0.8000 0.0448
1.3000 0.8000 -0.0072
1.4000 0.8000 -0.0043
1.5000 0.8000 0.0050
1.6000 0.8000 -0.0080
1.7000 0.8000 -0.0043
1.8000 0.8000 -0.0473
1.9000 0.8000 -0.0060
2.0000 0.8000 0.0472
2.1000 0.8000 0.1003
2.2000 0.8000 0.0991
2.3000 0.8000 0.1179
2.4000 0.8000 0.1178
2.5000 0.8000 0.1415
2.6000 0.8000 0.1413
2.7000 0.8000 0.1248
2.8000 0.8000 0.1533
2.9000 0.8000 0.1905
3.0000 0.8000 0.1632
3.1000 0.8000 0.1261
3.2000 0.8000 0.0331
3.3000 0.8000 -0.0504
3.4000 0.8000 -0.1321
3.5000 0.8000 -0.1616
3.6000 0.8000 -0.1247
3.7000 0.8000 -0.1002
3.8000 0.8000 -0.1158
3.9000 0.8000 -0.1608
4.0000 0.8000 -0.1084
4.1000 0.8000 -0.0639
4.2000 0.8000 -0.0467
4.3000 0.8000 -0.0333
4.4000 0.8000 -0.0722
4.5000 0.8000 -0.0434
4.6000 0.8000 -0.0567
4.7000 0.8000 -0.0670
4.8000 0.8000 -0.0481
4.9000 0.8000 -0.0317
0.0000 0.9000 -0.0036
0.1000 0.9000 0.0477
0.2000 0.9000 0.0781
0.3000 0.9000 0.0695
0.4000 0.9000 0.0810
0.5000 0.9000 0.1140
0.6000 0.9000 0.1026
0.7000 0.9000 0.1142
0.8000 0.9000 0.1411
0.9000 0.9000 0.1421
1.0000 0.9000 0.1191
1.1000 0.9000 0.0861
1.2000 0.9000 0.0700
1.3000 0.9000 0.0398
1.4000 0.9000 0.0184
1.5000 0.9000 0.0246
1.6000 0.9000 0.0134
1.7000 0.9000 0.0133
1.8000 0.9000 -0.0060
1.9000 0.9000 0.0197
2.0000 0.9000 0.0825
2.1000 0.9000 0.1077
2.2000 0.9000 0.1183
2.3000 0.9000 0.1556
2.4000 0.9000 0.1687
2.5000 0.9000 0.1420
2.6000 0.9000 0.1378
2.7000 0.9000 0.1359
2.8000 0.9000 0.1743
2.9000 0.9000 0.1951
3.0000 0.9000 0.1521
3.1000 0.9000 0.1133
3.2000 0.9000 0.0714
3.3000 0.9000 -0.0256
3.4000 0.9000 -0.1002
3.5000 0.9000 -0.1388
3.6000 0.9000 -0.1166
3.7000 0.9000 -0.0773
3.8000 0.9000 -0.1104
3.9000 0.9000 -0.1570
4.0000 0.9000 -0.1525
4.1000 0.9000 -0.1033
4.2000 0.9000 -0.0790
4.3000 0.9000 -0.0459
4.4000 0.9000 -0.0664
4.5000 0.9000 -0.0837
4.6000 0.9000 -0.0825
4.7000 0.9000 -0.0902
4.8000 0.9000 -0.0955
4.9000 0.9000 -0.0645
0.0000 1.0000 -0.0002
0.1000 1.0000 0.0402
0.2000 1.0000 0.0420
0.3000 1.0000 0.0422
0.4000 1.0000 0.0537
0.5000 1.0000 0.1121
0.6000 1.0000 0.1236
0.7000 1.0000 0.1289
0.8000 1.0000 0.1431
0.9000 1.0000 0.1386
1.0000 1.0000 0.1363
1.1000 1.0000 0.1221
1.2000 1.0000 0.1022
1.3000 1.0000 0.0730
1.4000 1.0000 0.0231
1.5000 1.0000 0.0293
1.6000 1.0000 0.0375
1.7000 1.0000 0.0049
1.8000 1.0000 0.0435
1.9000 1.0000 0.0819
2.0000 1.0000 0.1189
2.1000 1.0000 0.1172
2.2000 1.0000 0.1339
2.3000 1.0000 0.1609
2.4000 1.0000 0.1853
2.5000 1.0000 0.1699
2.6000 1.0000 0.1849
2.7000 1.0000 0.2127
2.8000 1.0000 0.2087
2.9000 1.0000 0.1794
3.0000 1.0000 0.1125
3.1000 1.0000 0.1208
3.2000 1.0000 0.1029
3.3000 1.0000 0.0224
3.4000 1.0000 -0.0334
3.5000 1.0000 -0.0896
3.6000 1.0000 -0.0921
3.7000 1.0000 -0.0769
3.8000 1.0000 -0.1003
3.9000 1.0000 -0.1402
4.0000 1.0000 -0.0976
4.1000 1.0000 -0.0628
4.2000 1.0000 -0.0627
4.3000 1.0000 -0.0299
4.4000 1.0000 -0.0218
4.5000 1.0000 0.0089
4.6000 1.0000 -0.0712
4.7000 1.0000 -0.0941
4.8000 1.0000 -0.0906
4.9000 1.0000 -0.0523
0.0000 1.1000 0.0436
0.1000 1.1000 0.0756
0.2000 1.1000 0.0651
0.3000 1.1000 0.0516
0.4000 1.1000 0.0403
0.5000 1.1000 0.0483
0.6000 1.1000 0.0924
0.7000 1.1000 0.1161
0.8000 1.1000 0.1046
0.9000 1.1000 0.1397
1.0000 1.1000 0.1383
1.1000 1.1000 0.1473
1.2000 1.1000 0.1379
1.3000 1.1000 0.1095
1.4000 1.1000 0.0370
1.5000 1.1000 0.0423
1.6000 1.1000 0.0305
1.7000 1.1000 0.0140
1.8000 1.1000 0.0817
1.9000 1.1000 0.1126
2.0000 1.1000 0.1237
2.1000 1.1000 0.0983
2.2000 1.1000 0.1477
2.3000 1.1000 0.1668
2.4000 1.1000 0.1221
2.5000 1.1000 0.1378
2.6000 1.1000 0.1994
2.7000 1.1000 0.2498
2.8000 1.1000 0.2337
2.9000 1.1000 0.1812
3.0000 1.1000 0.1328
3.1000 1.1000 0.1654
3.2000 1.1000 0.1370
3.3000 1.1000 0.0659
3.4000 1.1000 0.0039
3.5000 1.1000 -0.0182
3.6000 1.1000 -0.0560
3.7000 1.1000 -0.0637
3.8000 1.1000 -0.0572
3.9000 1.1000 -0.0617
4.0000 1.1000 -0.0515
4.1000 1.1000 -0.0590
4.2000 1.1000 -0.0392
4.3000 1.1000 0.0266
4.4000 1.1000 0.0711
4.5000 1.1000 0.0837
4.6000 1.1000 0.0133
4.7000 1.1000 -0.0165
4.8000 1.1000 -0.0411
4.9000 1.1000 -0.0191
0.0000 1.2000 0.0174
0.1000 1.2000 0.0516
0.2000 1.2000 0.0724
0.3000 1.2000 0.0645
0.4000 1.2000 0.0444
0.5000 1.2000 0.0291
0.6000 1.2000 0.0797
0.7000 1.2000 0.1007
0.8000 1.2000 0.1163
0.9000 1.2000 0.1344
1.0000 1.2000 0.1416
1.1000 1.2000 0.1165
1.2000 1.2000 0.0885
1.3000 1.2000 0.0655
1.4000 1.2000 0.0533
1.5000 1.2000 0.0437
1.6000 1.2000 0.0603
1.7000 1.2000 0.0400
1.8000 1.2000 0.0785
1.9000 1.2000 0.1293
2.0000 1.2000 0.1207
2.1000 1.2000 0.0979
2.2000 1.2000 0.1313
2.3000 1.2000 0.1238
2.4000 1.2000 0.1176
2.5000 1.2000 0.1350
2.6000 1.2000 0.2154
2.7000 1.2000 0.2594
2.8000 1.2000 0.2475
2.9000 1.2000 0.2006
3.0000 1.2000 0.2221
3.1000 1.2000 0.2364
3.2000 1.2000 0.2139
3.3000 1.2000 0.1248
