# x, y, err
0.8000 0.4000 -0.0497
0.9000 0.4000 -0.0603
1.0000 0.4000 0.0190
1.1000 0.4000 0.1087
1.2000 0.4000 0.1533
1.3000 0.4000 0.1204
1.4000 0.4000 0.0346
1.5000 0.4000 0.0203
1.6000 0.4000 0.0072
1.7000 0.4000 0.0635
1.8000 0.4000 0.1815
1.9000 0.4000 0.1924
2.0000 0.4000 0.1069
2.1000 0.4000 0.0959
2.2000 0.4000 0.0720
2.3000 0.4000 0.0104
2.4000 0.4000 -0.0782
2.5000 0.4000 -0.0975
2.6000 0.4000 -0.0506
2.7000 0.4000 -0.0277
2.8000 0.4000 -0.0105
2.9000 0.4000 -0.0081
3.0000 0.4000 -0.0077
3.1000 0.4000 0.0221
3.2000 0.4000 0.0346
3.3000 0.4000 -0.0017
3.4000 0.4000 -0.0546
3.5000 0.4000 -0.0429
3.6000 0.4000 -0.0525
3.7000 0.4000 -0.0477
3.8000 0.4000 0.0138
3.9000 0.4000 0.0021
4.0000 0.4000 -0.0392
4.1000 0.4000 -0.0607
4.2000 0.4000 0.0027
4.3000 0.4000 0.0408
4.4000 0.4000 0.0321
4.5000 0.4000 0.0532
4.6000 0.4000 0.1196
4.7000 0.4000 0.0952
4.8000 0.4000 0.0657
4.9000 0.4000 0.0627
0.0000 0.5000 0.0882
0.1000 0.5000 0.0817
0.2000 0.5000 0.0659
0.3000 0.5000 0.0106
0.4000 0.5000 -0.0026
0.5000 0.5000 0.0242
0.6000 0.5000 0.0871
0.7000 0.5000 0.0683
0.8000 0.5000 0.0355
0.9000 0.5000 0.0086
1.0000 0.5000 0.0488
1.1000 0.5000 0.0718
1.2000 0.5000 0.1425
1.3000 0.5000 0.1549
1.4000 0.5000 0.0898
1.5000 0.5000 0.0973
1.6000 0.5000 0.0988
1.7000 0.5000 0.1483
1.8000 0.5000 0.2046
1.9000 0.5000 0.1728
2.0000 0.5000 0.0931
2.1000 0.5000 0.0722
2.2000 0.5000 0.0522
2.3000 0.5000 0.0300
2.4000 0.5000 -0.0028
2.5000 0.5000 0.0065
2.6000 0.5000 -0.0081
2.7000 0.5000 -0.0316
2.8000 0.5000 -0.0416
2.9000 0.5000 -0.0138
3.0000 0.5000 -0.0168
3.1000 0.5000 -0.0467
3.2000 0.5000 -0.0654
3.3000 0.5000 -0.0449
3.4000 0.5000 -0.0573
3.5000 0.5000 -0.0076
3.6000 0.5000 0.0101
3.7000 0.5000 -0.0067
3.8000 0.5000 0.0162
3.9000 0.5000 -0.0127
4.0000 0.5000 -0.0069
4.1000 0.5000 -0.0484
4.2000 0.5000 -0.0155
4.3000 0.5000 -0.0211
4.4000 0.5000 -0.0254
4.5000 0.5000 -0.0095
4.6000 0.5000 0.0575
4.7000 0.5000 0.0843
4.8000 0.5000 0.0685
4.9000 0.5000 0.0117
0.0000 0.6000 0.0057
0.1000 0.6000 -0.0026
0.2000 0.6000 0.0379
0.3000 0.6000 0.0161
0.4000 0.6000 0.0266
0.5000 0.6000 0.0909
0.6000 0.6000 0.1397
0.7000 0.6000 0.1369
0.8000 0.6000 0.0940
0.9000 0.6000 0.0693
1.0000 0.6000 0.0406
1.1000 0.6000 0.0651
1.2000 0.6000 0.1233
1.3000 0.6000 0.1021
1.4000 0.6000 0.1100
1.5000 0.6000 0.1277
1.6000 0.6000 0.1277
1.7000 0.6000 0.1280
1.8000 0.6000 0.1392
1.9000 0.6000 0.1270
2.0000 0.6000 0.1015
2.1000 0.6000 0.0472
2.2000 0.6000 0.0126
2.3000 0.6000 0.0067
2.4000 0.6000 0.0319
2.5000 0.6000 0.0775
2.6000 0.6000 0.0359
2.7000 0.6000 -0.0606
2.8000 0.6000 -0.0981
2.9000 0.6000 -0.0591
3.0000 0.6000 -0.0304
3.1000 0.6000 -0.0686
3.2000 0.6000 -0.0671
3.3000 0.6000 -0.0633
3.4000 0.6000 -0.0528
3.5000 0.6000 0.0079
3.6000 0.6000 -0.0058
3.7000 0.6000 -0.0275
3.8000 0.6000 -0.0372
3.9000 0.6000 -0.0747
4.0000 0.6000 -0.0250
4.1000 0.6000 -0.0266
4.2000 0.6000 -0.0537
4.3000 0.6000 -0.0890
4.4000 0.6000 -0.1505
4.5000 0.6000 -0.1148
4.6000 0.6000 -0.0216
4.7000 0.6000 0.0419
4.8000 0.6000 0.0465
4.9000 0.6000 -0.0213
0.0000 0.7000 0.0129
0.1000 0.7000 0.0424
0.2000 0.7000 0.0356
0.3000 0.7000 0.0228
0.4000 0.7000 0.0659
0.5000 0.7000 0.1084
0.6000 0.7000 0.1003
0.7000 0.7000 0.1178
0.8000 0.7000 0.0982
0.9000 0.7000 0.0996
1.0000 0.7000 0.0377
1.1000 0.7000 0.0634
1.2000 0.7000 0.0358
1.3000 0.7000 0.0447
1.4000 0.7000 0.1091
1.5000 0.7000 0.1302
1.6000 0.7000 0.1267
1.7000 0.7000 0.1088
1.8000 0.7000 0.0934
1.9000 0.7000 0.0921
2.0000 0.7000 0.0710
2.1000 0.7000 0.0370
2.2000 0.7000 -0.0067
2.3000 0.7000 0.0263
2.4000 0.7000 0.0522
2.5000 0.7000 0.0477
2.6000 0.7000 -0.0320
2.7000 0.7000 -0.1496
2.8000 0.7000 -0.1963
2.9000 0.7000 -0.1734
3.0000 0.7000 -0.1061
3.1000 0.7000 -0.0674
3.2000 0.7000 -0.0299
3.3000 0.7000 -0.0653
3.4000 0.7000 -0.0842
3.5000 0.7000 -0.0185
3.6000 0.7000 -0.0308
3.7000 0.7000 -0.0715
3.8000 0.7000 -0.0850
3.9000 0.7000 -0.1437
4.0000 0.7000 -0.1013
4.1000 0.7000 -0.0497
4.2000 0.7000 -0.0452
4.3000 0.7000 -0.1041
4.4000 0.7000 -0.1890
4.5000 0.7000 -0.1689
4.6000 0.7000 -0.0637
4.7000 0.7000 -0.0141
4.8000 0.7000 0.0518
4.9000 0.7000 0.0270
0.0000 0.8000 0.0570
0.1000 0.8000 0.0565
0.2000 0.8000 0.0482
0.3000 0.8000 0.0472
0.4000 0.8000 0.0893
0.5000 0.8000 0.0940
0.6000 0.8000 0.0695
0.7000 0.8000 0.1117
0.8000 0.8000 0.1032
0.9000 0.8000 0.0765
1.0000 0.8000 0.0447
1.1000 0.8000 0.0699
1.2000 0.8000 0.0738
1.3000 0.8000 0.0366
1.4000 0.8000 0.0969
1.5000 0.8000 0.1453
1.6000 0.8000 0.1187
1.7000 0.8000 0.0865
1.8000 0.8000 0.0987
