# x, y, err
1.2000 0.4000 0.9180
1.3000 0.4000 0.9140
1.4000 0.4000 0.9040
1.5000 0.4000 0.8980
1.6000 0.4000 0.9040
1.7000 0.4000 0.8860
1.8000 0.4000 0.8820
1.9000 0.4000 0.8800
2.0000 0.4000 0.9180
2.1000 0.4000 0.9060
2.2000 0.4000 0.9000
2.3000 0.4000 0.9040
2.4000 0.4000 0.8980
2.5000 0.4000 0.8940
2.6000 0.4000 0.8800
2.7000 0.4000 0.9040
2.8000 0.4000 0.9040
2.9000 0.4000 0.9100
3.0000 0.4000 0.8880
3.1000 0.4000 0.8900
3.2000 0.4000 0.9080
3.3000 0.4000 0.8960
3.4000 0.4000 0.8920
3.5000 0.4000 0.8820
3.6000 0.4000 0.8860
3.7000 0.4000 0.9020
3.8000 0.4000 0.9140
3.9000 0.4000 0.9000
4.0000 0.4000 0.8920
4.1000 0.4000 0.8980
4.2000 0.4000 0.8980
4.3000 0.4000 0.8880
4.4000 0.4000 0.9000
4.5000 0.4000 0.9000
4.6000 0.4000 0.8940
4.7000 0.4000 0.9020
4.8000 0.4000 0.9080
4.9000 0.4000 0.9020
0.0000 0.5000 0.9060
0.1000 0.5000 0.8740
0.2000 0.5000 0.9000
0.3000 0.5000 0.9140
0.4000 0.5000 0.8960
0.5000 0.5000 0.9020
0.6000 0.5000 0.8940
0.7000 0.5000 0.8900
0.8000 0.5000 0.9000
0.9000 0.5000 0.9180
1.0000 0.5000 0.9220
1.1000 0.5000 0.9280
1.2000 0.5000 0.9160
1.3000 0.5000 0.8980
1.4000 0.5000 0.9060
1.5000 0.5000 0.9100
1.6000 0.5000 0.8980
1.7000 0.5000 0.8960
1.8000 0.5000 0.8780
1.9000 0.5000 0.8780
2.0000 0.5000 0.8900
2.1000 0.5000 0.9040
2.2000 0.5000 0.8920
2.3000 0.5000 0.9080
2.4000 0.5000 0.9080
2.5000 0.5000 0.8960
2.6000 0.5000 0.8960
2.7000 0.5000 0.9100
2.8000 0.5000 0.9240
2.9000 0.5000 0.9140
3.0000 0.5000 0.8940
3.1000 0.5000 0.8940
3.2000 0.5000 0.9020
3.3000 0.5000 0.8940
