# x, y, corr
0.1000 0.4000 0.0000
0.2000 0.4000 0.0000
0.3000 0.4000 0.0000
0.4000 0.4000 0.0000
0.5000 0.4000 0.0000
0.6000 0.4000 0.0000
0.7000 0.4000 0.0000
0.8000 0.4000 -0.0000
0.9000 0.4000 -0.0001
1.0000 0.4000 -0.0002
1.1000 0.4000 -0.0003
1.2000 0.4000 -0.0006
1.3000 0.4000 -0.0009
1.4000 0.4000 -0.0013
1.5000 0.4000 -0.0019
1.6000 0.4000 -0.0025
1.7000 0.4000 -0.0031
1.8000 0.4000 -0.0037
1.9000 0.4000 -0.0043
2.0000 0.4000 -0.0047
2.1000 0.4000 -0.0048
2.2000 0.4000 -0.0046
2.3000 0.4000 -0.0041
2.4000 0.4000 -0.0031
2.5000 0.4000 -0.0019
2.6000 0.4000 -0.0005
2.7000 0.4000 0.0007
2.8000 0.4000 0.0016
2.9000 0.4000 0.0021
3.0000 0.4000 0.0020
3.1000 0.4000 0.0015
3.2000 0.4000 0.0005
3.3000 0.4000 -0.0007
3.4000 0.4000 -0.0018
3.5000 0.4000 -0.0028
3.6000 0.4000 -0.0035
3.7000 0.4000 -0.0038
3.8000 0.4000 -0.0038
3.9000 0.4000 -0.0036
4.0000 0.4000 -0.0032
4.1000 0.4000 -0.0027
4.2000 0.4000 -0.0022
4.3000 0.4000 -0.0017
4.4000 0.4000 -0.0013
4.5000 0.4000 -0.0009
4.6000 0.4000 -0.0006
4.7000 0.4000 -0.0003
4.8000 0.4000 -0.0002
4.9000 0.4000 -0.0001
0.0000 0.5000 -0.0000
0.1000 0.5000 -0.0000
0.2000 0.5000 0.0000
0.3000 0.5000 0.0000
0.4000 0.5000 0.0000
0.5000 0.5000 0.0000
0.6000 0.5000 0.0000
0.7000 0.5000 0.0000
0.8000 0.5000 -0.0000
0.9000 0.5000 -0.0001
1.0000 0.5000 -0.0002
1.1000 0.5000 -0.0004
1.2000 0.5000 -0.0006
1.3000 0.5000 -0.0010
