# x, y, corr
0.0000 0.0000 0.0000
0.1000 0.0000 0.0000
0.2000 0.0000 -0.0000
0.3000 0.0000 -0.0000
0.4000 0.0000 -0.0001
0.5000 0.0000 -0.0002
0.6000 0.0000 -0.0002
0.7000 0.0000 -0.0003
0.8000 0.0000 -0.0004
0.9000 0.0000 -0.0005
1.0000 0.0000 -0.0005
1.1000 0.0000 -0.0004
1.2000 0.0000 -0.0002
1.3000 0.0000 0.0002
1.4000 0.0000 0.0008
1.5000 0.0000 0.0016
1.6000 0.0000 0.0028
1.7000 0.0000 0.0040
1.8000 0.0000 0.0054
1.9000 0.0000 0.0068
2.0000 0.0000 0.0080
2.1000 0.0000 0.0091
2.2000 0.0000 0.0098
2.3000 0.0000 0.0102
2.4000 0.0000 0.0102
2.5000 0.0000 0.0097
2.6000 0.0000 0.0089
2.7000 0.0000 0.0078
2.8000 0.0000 0.0066
2.9000 0.0000 0.0054
3.0000 0.0000 0.0041
3.1000 0.0000 0.0030
3.2000 0.0000 0.0020
3.3000 0.0000 0.0011
3.4000 0.0000 0.0005
3.5000 0.0000 0.0000
3.6000 0.0000 -0.0002
3.7000 0.0000 -0.0004
3.8000 0.0000 -0.0004
3.9000 0.0000 -0.0004
4.0000 0.0000 -0.0003
4.1000 0.0000 -0.0002
4.2000 0.0000 -0.0002
4.3000 0.0000 -0.0001
4.4000 0.0000 -0.0001
4.5000 0.0000 -0.0000
4.6000 0.0000 0.0000
4.7000 0.0000 0.0000
4.8000 0.0000 0.0000
4.9000 0.0000 0.0000
0.0000 0.1000 0.0000
0.1000 0.1000 0.0000
0.2000 0.1000 -0.0000
0.3000 0.1000 -0.0000
0.4000 0.1000 -0.0001
0.5000 0.1000 -0.0002
0.6000 0.1000 -0.0002
0.7000 0.1000 -0.0003
0.8000 0.1000 -0.0003
0.9000 0.1000 -0.0003
1.0000 0.1000 -0.0002
1.1000 0.1000 0.0000
1.2000 0.1000 0.0005
1.3000 0.1000 0.0013
1.4000 0.1000 0.0025
1.5000 0.1000 0.0040
1.6000 0.1000 0.0060
1.7000 0.1000 0.0083
1.8000 0.1000 0.0108
1.9000 0.1000 0.0133
2.0000 0.1000 0.0159
2.1000 0.1000 0.0181
2.2000 0.1000 0.0199
2.3000 0.1000 0.0209
2.4000 0.1000 0.0210
2.5000 0.1000 0.0201
2.6000 0.1000 0.0184
2.7000 0.1000 0.0162
2.8000 0.1000 0.0138
2.9000 0.1000 0.0113
3.0000 0.1000 0.0089
3.1000 0.1000 0.0067
3.2000 0.1000 0.0048
3.3000 0.1000 0.0032
3.4000 0.1000 0.0020
3.5000 0.1000 0.0011
3.6000 0.1000 0.0004
3.7000 0.1000 0.0001
3.8000 0.1000 -0.0001
3.9000 0.1000 -0.0002
4.0000 0.1000 -0.0002
4.1000 0.1000 -0.0002
4.2000 0.1000 -0.0002
4.3000 0.1000 -0.0001
4.4000 0.1000 -0.0001
4.5000 0.1000 -0.0000
4.6000 0.1000 -0.0000
4.7000 0.1000 0.0000
4.8000 0.1000 0.0000
4.9000 0.1000 0.0000
0.0000 0.2000 0.0000
0.1000 0.2000 0.0000
0.2000 0.2000 -0.0000
0.3000 0.2000 -0.0001
0.4000 0.2000 -0.0001
0.5000 0.2000 -0.0002
0.6000 0.2000 -0.0002
0.7000 0.2000 -0.0003
0.8000 0.2000 -0.0003
0.9000 0.2000 -0.0002
1.0000 0.2000 0.0001
1.1000 0.2000 0.0006
1.2000 0.2000 0.0014
1.3000 0.2000 0.0027
1.4000 0.2000 0.0047
1.5000 0.2000 0.0072
1.6000 0.2000 0.0103
1.7000 0.2000 0.0139
1.8000 0.2000 0.0180
1.9000 0.2000 0.0223
2.0000 0.2000 0.0267
2.1000 0.2000 0.0307
2.2000 0.2000 0.0340
2.3000 0.2000 0.0360
2.4000 0.2000 0.0362
2.5000 0.2000 0.0347
2.6000 0.2000 0.0318
2.7000 0.2000 0.0279
2.8000 0.2000 0.0236
2.9000 0.2000 0.0193
3.0000 0.2000 0.0153
3.1000 0.2000 0.0117
3.2000 0.2000 0.0086
3.3000 0.2000 0.0060
3.4000 0.2000 0.0039
3.5000 0.2000 0.0023
3.6000 0.2000 0.0013
3.7000 0.2000 0.0006
3.8000 0.2000 0.0002
3.9000 0.2000 -0.0001
4.0000 0.2000 -0.0001
4.1000 0.2000 -0.0002
4.2000 0.2000 -0.0002
4.3000 0.2000 -0.0001
4.4000 0.2000 -0.0001
4.5000 0.2000 -0.0000
4.6000 0.2000 -0.0000
4.7000 0.2000 0.0000
4.8000 0.2000 0.0000
4.9000 0.2000 0.0000
0.0000 0.3000 0.0000
0.1000 0.3000 -0.0000
0.2000 0.3000 -0.0000
0.3000 0.3000 -0.0001
0.4000 0.3000 -0.0001
0.5000 0.3000 -0.0002
0.6000 0.3000 -0.0002
0.7000 0.3000 -0.0002
0.8000 0.3000 -0.0002
0.9000 0.3000 0.0000
1.0000 0.3000 0.0004
1.1000 0.3000 0.0012
1.2000 0.3000 0.0025
1.3000 0.3000 0.0044
1.4000 0.3000 0.0072
1.5000 0.3000 0.0109
1.6000 0.3000 0.0155
1.7000 0.3000 0.0209
1.8000 0.3000 0.0271
1.9000 0.3000 0.0339
2.0000 0.3000 0.0407
2.1000 0.3000 0.0471
2.2000 0.3000 0.0523
2.3000 0.3000 0.0555
2.4000 0.3000 0.0560
2.5000 0.3000 0.0536
2.6000 0.3000 0.0490
2.7000 0.3000 0.0429
