# x, y, corr
0.0000 0.0000 -0.0542
0.1000 0.0000 -0.0827
0.2000 0.0000 -0.0736
0.3000 0.0000 -0.0437
0.4000 0.0000 -0.0316
0.5000 0.0000 -0.0447
0.6000 0.0000 -0.0548
0.7000 0.0000 -0.0494
0.8000 0.0000 -0.0489
0.9000 0.0000 -0.0424
1.0000 0.0000 -0.0232
1.1000 0.0000 -0.0085
1.2000 0.0000 0.0036
1.3000 0.0000 0.0134
1.4000 0.0000 0.0127
1.5000 0.0000 0.0333
1.6000 0.0000 0.0051
1.7000 0.0000 0.0062
1.8000 0.0000 0.0005
1.9000 0.0000 0.0275
2.0000 0.0000 0.0655
2.1000 0.0000 0.0716
2.2000 0.0000 0.1038
2.3000 0.0000 0.1134
2.4000 0.0000 0.1092
2.5000 0.0000 0.1099
2.6000 0.0000 0.1031
2.7000 0.0000 0.1056
2.8000 0.0000 0.1116
2.9000 0.0000 0.0928
3.0000 0.0000 0.0375
3.1000 0.0000 0.0330
3.2000 0.0000 0.0035
3.3000 0.0000 -0.0475
3.4000 0.0000 -0.0867
3.5000 0.0000 -0.1028
3.6000 0.0000 -0.1145
3.7000 0.0000 -0.0844
3.8000 0.0000 -0.0180
3.9000 0.0000 -0.0114
4.0000 0.0000 0.0121
4.1000 0.0000 0.0268
4.2000 0.0000 -0.0149
4.3000 0.0000 -0.0639
4.4000 0.0000 -0.1206
4.5000 0.0000 -0.1475
4.6000 0.0000 -0.1898
4.7000 0.0000 -0.1778
4.8000 0.0000 -0.1364
4.9000 0.0000 -0.0935
0.0000 0.1000 -0.0789
0.1000 0.1000 -0.0770
0.2000 0.1000 -0.1051
0.3000 0.1000 -0.0879
0.4000 0.1000 -0.0778
0.5000 0.1000 -0.0552
0.6000 0.1000 -0.0217
0.7000 0.1000 -0.0412
0.8000 0.1000 -0.0469
0.9000 0.1000 -0.0678
1.0000 0.1000 -0.0414
1.1000 0.1000 -0.0347
1.2000 0.1000 -0.0227
1.3000 0.1000 -0.0328
1.4000 0.1000 -0.0168
1.5000 0.1000 -0.0183
1.6000 0.1000 -0.0321
1.7000 0.1000 -0.0282
1.8000 0.1000 -0.0258
1.9000 0.1000 0.0178
2.0000 0.1000 0.0561
2.1000 0.1000 0.1104
2.2000 0.1000 0.1373
2.3000 0.1000 0.1430
2.4000 0.1000 0.1549
2.5000 0.1000 0.1327
2.6000 0.1000 0.1201
2.7000 0.1000 0.1188
2.8000 0.1000 0.1345
2.9000 0.1000 0.1228
3.0000 0.1000 0.0628
3.1000 0.1000 0.0537
3.2000 0.1000 0.0141
3.3000 0.1000 -0.0365
3.4000 0.1000 -0.0540
3.5000 0.1000 -0.0847
3.6000 0.1000 -0.0808
3.7000 0.1000 -0.0489
3.8000 0.1000 -0.0109
3.9000 0.1000 0.0245
4.0000 0.1000 0.0076
4.1000 0.1000 0.0060
4.2000 0.1000 0.0405
4.3000 0.1000 0.0100
4.4000 0.1000 -0.0507
4.5000 0.1000 -0.1321
4.6000 0.1000 -0.1679
4.7000 0.1000 -0.1538
4.8000 0.1000 -0.1101
4.9000 0.1000 -0.0835
0.0000 0.2000 -0.0431
0.1000 0.2000 -0.0819
0.2000 0.2000 -0.1103
0.3000 0.2000 -0.1135
0.4000 0.2000 -0.0930
0.5000 0.2000 -0.0745
0.6000 0.2000 -0.0507
0.7000 0.2000 -0.0506
0.8000 0.2000 -0.0646
0.9000 0.2000 -0.0849
1.0000 0.2000 -0.0425
1.1000 0.2000 -0.0216
1.2000 0.2000 -0.0294
1.3000 0.2000 -0.0668
1.4000 0.2000 -0.0991
1.5000 0.2000 -0.0535
1.6000 0.2000 -0.0339
1.7000 0.2000 -0.0271
1.8000 0.2000 -0.0120
1.9000 0.2000 0.0246
2.0000 0.2000 0.0731
2.1000 0.2000 0.1092
2.2000 0.2000 0.1678
2.3000 0.2000 0.1689
2.4000 0.2000 0.1519
2.5000 0.2000 0.1356
2.6000 0.2000 0.1170
2.7000 0.2000 0.1354
2.8000 0.2000 0.1362
2.9000 0.2000 0.1230
3.0000 0.2000 0.1066
3.1000 0.2000 0.1236
3.2000 0.2000 0.0716
3.3000 0.2000 -0.0064
3.4000 0.2000 -0.0247
3.5000 0.2000 -0.0502
3.6000 0.2000 -0.0663
3.7000 0.2000 -0.0463
3.8000 0.2000 0.0105
3.9000 0.2000 0.0424
4.0000 0.2000 0.0223
4.1000 0.2000 0.0009
4.2000 0.2000 0.0345
4.3000 0.2000 0.0464
4.4000 0.2000 -0.0296
4.5000 0.2000 -0.0847
4.6000 0.2000 -0.1233
4.7000 0.2000 -0.1046
4.8000 0.2000 -0.0734
4.9000 0.2000 -0.0725
0.0000 0.3000 -0.0234
0.1000 0.3000 -0.0728
0.2000 0.3000 -0.0962
0.3000 0.3000 -0.1091
0.4000 0.3000 -0.1064
0.5000 0.3000 -0.1282
0.6000 0.3000 -0.1016
0.7000 0.3000 -0.0632
0.8000 0.3000 -0.0648
0.9000 0.3000 -0.1015
1.0000 0.3000 -0.0725
