# x, y, val
0.0000 0.0000 11.2240
0.1000 0.0000 11.1492
0.2000 0.0000 11.1418
0.3000 0.0000 11.2108
0.4000 0.0000 11.3652
0.5000 0.0000 11.6053
0.6000 0.0000 11.9192
0.7000 0.0000 12.2834
0.8000 0.0000 12.6669
0.9000 0.0000 13.0369
1.0000 0.0000 13.3617
1.1000 0.0000 13.6160
1.2000 0.0000 13.8037
1.3000 0.0000 13.9333
1.4000 0.0000 14.0131
1.5000 0.0000 14.0519
1.6000 0.0000 14.0585
1.7000 0.0000 14.0408
1.8000 0.0000 14.0063
1.9000 0.0000 13.9607
2.0000 0.0000 13.9071
2.1000 0.0000 13.8462
2.2000 0.0000 13.7882
2.3000 0.0000 13.7404
2.4000 0.0000 13.7049
2.5000 0.0000 13.6808
2.6000 0.0000 13.6646
2.7000 0.0000 13.6516
2.8000 0.0000 13.6362
2.9000 0.0000 13.6109
3.0000 0.0000 13.5615
3.1000 0.0000 13.4706
3.2000 0.0000 13.3558
3.3000 0.0000 13.2309
3.4000 0.0000 13.1023
3.5000 0.0000 12.9739
3.6000 0.0000 12.8478
3.7000 0.0000 12.7245
3.8000 0.0000 12.6037
3.9000 0.0000 12.4873
4.0000 0.0000 12.3914
4.1000 0.0000 12.3415
4.2000 0.0000 12.2983
4.3000 0.0000 12.2342
4.4000 0.0000 12.1405
4.5000 0.0000 12.0164
4.6000 0.0000 11.8665
4.7000 0.0000 11.6987
4.8000 0.0000 11.5242
4.9000 0.0000 11.3584
0.0000 0.1000 11.3004
0.1000 0.1000 11.2274
0.2000 0.1000 11.2218
0.3000 0.1000 11.2939
0.4000 0.1000 11.4523
0.5000 0.1000 11.6973
0.6000 0.1000 12.0166
0.7000 0.1000 12.3863
0.8000 0.1000 12.7749
0.9000 0.1000 13.1488
1.0000 0.1000 13.4771
1.1000 0.1000 13.7392
1.2000 0.1000 13.9346
1.3000 0.1000 14.0712
1.4000 0.1000 14.1582
1.5000 0.1000 14.2046
1.6000 0.1000 14.2192
1.7000 0.1000 14.2097
1.8000 0.1000 14.1826
1.9000 0.1000 14.1430
2.0000 0.1000 14.0937
2.1000 0.1000 14.0373
2.2000 0.1000 13.9813
2.3000 0.1000 13.9321
2.4000 0.1000 13.8919
2.5000 0.1000 13.8603
2.6000 0.1000 13.8340
2.7000 0.1000 13.8086
2.8000 0.1000 13.7784
2.9000 0.1000 13.7361
3.0000 0.1000 13.6695
3.1000 0.1000 13.5695
3.2000 0.1000 13.4463
3.3000 0.1000 13.3124
3.4000 0.1000 13.1751
3.5000 0.1000 13.0390
3.6000 0.1000 12.9067
3.7000 0.1000 12.7796
3.8000 0.1000 12.6580
3.9000 0.1000 12.5455
4.0000 0.1000 12.4551
4.1000 0.1000 12.3969
4.2000 0.1000 12.3468
4.3000 0.1000 12.2803
4.4000 0.1000 12.1870
4.5000 0.1000 12.0652
4.6000 0.1000 11.9189
4.7000 0.1000 11.7557
4.8000 0.1000 11.5869
4.9000 0.1000 11.4279
0.0000 0.2000 11.4076
0.1000 0.2000 11.3365
0.2000 0.2000 11.3312
0.3000 0.2000 11.4049
0.4000 0.2000 11.5663
0.5000 0.2000 11.8153
0.6000 0.2000 12.1392
0.7000 0.2000 12.5135
0.8000 0.2000 12.9057
0.9000 0.2000 13.2821
1.0000 0.2000 13.6140
1.1000 0.2000 13.8837
1.2000 0.2000 14.0882
1.3000 0.2000 14.2336
1.4000 0.2000 14.3290
1.5000 0.2000 14.3843
1.6000 0.2000 14.4081
1.7000 0.2000 14.4077
1.8000 0.2000 14.3889
1.9000 0.2000 14.3563
2.0000 0.2000 14.3129
2.1000 0.2000 14.2625
2.2000 0.2000 14.2101
2.3000 0.2000 14.1605
2.4000 0.2000 14.1160
2.5000 0.2000 14.0761
2.6000 0.2000 14.0383
2.7000 0.2000 13.9982
2.8000 0.2000 13.9506
2.9000 0.2000 13.8888
3.0000 0.2000 13.8055
3.1000 0.2000 13.6975
3.2000 0.2000 13.5698
3.3000 0.2000 13.4315
3.4000 0.2000 13.2898
3.5000 0.2000 13.1501
3.6000 0.2000 13.0158
3.7000 0.2000 12.8891
3.8000 0.2000 12.7717
3.9000 0.2000 12.6668
4.0000 0.2000 12.5799
4.1000 0.2000 12.5110
4.2000 0.2000 12.4465
4.3000 0.2000 12.3698
4.4000 0.2000 12.2709
4.5000 0.2000 12.1473
4.6000 0.2000 12.0020
4.7000 0.2000 11.8425
4.8000 0.2000 11.6797
4.9000 0.2000 11.5285
0.0000 0.3000 11.5309
0.1000 0.3000 11.4629
0.2000 0.3000 11.4592
0.3000 0.3000 11.5347
0.4000 0.3000 11.6987
0.5000 0.3000 11.9510
0.6000 0.3000 12.2786
0.7000 0.3000 12.6564
0.8000 0.3000 13.0516
0.9000 0.3000 13.4306
1.0000 0.3000 13.7661
1.1000 0.3000 14.0418
1.2000 0.3000 14.2539
1.3000 0.3000 14.4074
1.4000 0.3000 14.5115
1.5000 0.3000 14.5762
1.6000 0.3000 14.6101
1.7000 0.3000 14.6200
1.8000 0.3000 14.6113
1.9000 0.3000 14.5877
2.0000 0.3000 14.5523
2.1000 0.3000 14.5086
2.2000 0.3000 14.4603
2.3000 0.3000 14.4109
2.4000 0.3000 14.3621
2.5000 0.3000 14.3138
2.6000 0.3000 14.2637
2.7000 0.3000 14.2084
2.8000 0.3000 14.1435
2.9000 0.3000 14.0641
3.0000 0.3000 13.9666
3.1000 0.3000 13.8501
3.2000 0.3000 13.7184
3.3000 0.3000 13.5777
3.4000 0.3000 13.4345
3.5000 0.3000 13.2941
3.6000 0.3000 13.1605
3.7000 0.3000 13.0361
3.8000 0.3000 12.9227
3.9000 0.3000 12.8217
4.0000 0.3000 12.7335
4.1000 0.3000 12.6548
4.2000 0.3000 12.5763
4.3000 0.3000 12.4871
4.4000 0.3000 12.3796
4.5000 0.3000 12.2515
4.6000 0.3000 12.1055
4.7000 0.3000 11.9485
4.8000 0.3000 11.7908
4.9000 0.3000 11.6461
0.0000 0.4000 11.6597
0.1000 0.4000 11.5957
0.2000 0.4000 11.5950
0.3000 0.4000 11.6729
0.4000 0.4000 11.8393
0.5000 0.4000 12.0941
0.6000 0.4000 12.4243
0.7000 0.4000 12.8044
0.8000 0.4000 13.2016
0.9000 0.4000 13.5825
1.0000 0.4000 13.9205
1.1000 0.4000 14.2001
1.2000 0.4000 14.4175
1.3000 0.4000 14.5777
1.4000 0.4000 14.6898
1.5000 0.4000 14.7638
1.6000 0.4000 14.8083
1.7000 0.4000 14.8297
1.8000 0.4000 14.8325
1.9000 0.4000 14.8198
2.0000 0.4000 14.7941
2.1000 0.4000 14.7580
2.2000 0.4000 14.7141
2.3000 0.4000 14.6650
2.4000 0.4000 14.6122
2.5000 0.4000 14.5555
2.6000 0.4000 14.4935
2.7000 0.4000 14.4236
2.8000 0.4000 14.3429
2.9000 0.4000 14.2484
3.0000 0.4000 14.1388
3.1000 0.4000 14.0146
3.2000 0.4000 13.8791
3.3000 0.4000 13.7373
3.4000 0.4000 13.5946
3.5000 0.4000 13.4557
3.6000 0.4000 13.3244
3.7000 0.4000 13.2028
3.8000 0.4000 13.0918
3.9000 0.4000 12.9912
4.0000 0.4000 12.8990
4.1000 0.4000 12.8106
4.2000 0.4000 12.7193
4.3000 0.4000 12.6175
4.4000 0.4000 12.5003
4.5000 0.4000 12.3663
4.6000 0.4000 12.2182
4.7000 0.4000 12.0626
4.8000 0.4000 11.9090
4.9000 0.4000 11.7697
0.0000 0.5000 11.7854
0.1000 0.5000 11.7259
0.2000 0.5000 11.7287
0.3000 0.5000 11.8093
0.4000 0.5000 11.9778
0.5000 0.5000 12.2342
0.6000 0.5000 12.5655
0.7000 0.5000 12.9463
0.8000 0.5000 13.3439
0.9000 0.5000 13.7251
1.0000 0.5000 14.0637
1.1000 0.5000 14.3449
1.2000 0.5000 14.5654
1.3000 0.5000 14.7302
1.4000 0.5000 14.8490
1.5000 0.5000 14.9318
1.6000 0.5000 14.9870
1.7000 0.5000 15.0205
1.8000 0.5000 15.0359
1.9000 0.5000 15.0354
2.0000 0.5000 15.0205
2.1000 0.5000 14.9926
2.2000 0.5000 14.9535
2.3000 0.5000 14.9050
2.4000 0.5000 14.8484
2.5000 0.5000 14.7839
2.6000 0.5000 14.7109
2.7000 0.5000 14.6278
2.8000 0.5000 14.5333
2.9000 0.5000 14.4262
3.0000 0.5000 14.3067
3.1000 0.5000 14.1762
3.2000 0.5000 14.0380
3.3000 0.5000 13.8964
3.4000 0.5000 13.7558
3.5000 0.5000 13.6203
3.6000 0.5000 13.4926
3.7000 0.5000 13.3742
3.8000 0.5000 13.2649
3.9000 0.5000 13.1630
4.0000 0.5000 13.0654
4.1000 0.5000 12.9674
4.2000 0.5000 12.8639
4.3000 0.5000 12.7499
4.4000 0.5000 12.6226
4.5000 0.5000 12.4819
4.6000 0.5000 12.3309
4.7000 0.5000 12.1757
4.8000 0.5000 12.0251
4.9000 0.5000 11.8905
0.0000 0.6000 11.9012
0.1000 0.6000 11.8459
0.2000 0.6000 11.8524
0.3000 0.6000 11.9355
0.4000 0.6000 12.1054
0.5000 0.6000 12.3621
0.6000 0.6000 12.6929
0.7000 0.6000 13.0727
0.8000 0.6000 13.4688
0.9000 0.6000 13.8484
