# x, y, val
0.0000 0.0000 14.0428
0.1000 0.0000 14.1410
0.2000 0.0000 14.2331
0.3000 0.0000 14.3186
0.4000 0.0000 14.3971
0.5000 0.0000 14.4680
0.6000 0.0000 14.5310
0.7000 0.0000 14.5857
0.8000 0.0000 14.6318
0.9000 0.0000 14.6690
1.0000 0.0000 14.6971
1.1000 0.0000 14.7159
1.2000 0.0000 14.7253
1.3000 0.0000 14.7253
1.4000 0.0000 14.7159
1.5000 0.0000 14.6971
1.6000 0.0000 14.6690
1.7000 0.0000 14.6318
1.8000 0.0000 14.5857
1.9000 0.0000 14.5310
2.0000 0.0000 14.4680
2.1000 0.0000 14.3971
2.2000 0.0000 14.3186
2.3000 0.0000 14.2331
2.4000 0.0000 14.1410
2.5000 0.0000 14.0428
2.6000 0.0000 13.9390
2.7000 0.0000 13.8303
2.8000 0.0000 13.7171
2.9000 0.0000 13.6000
3.0000 0.0000 13.4797
3.1000 0.0000 13.3566
3.2000 0.0000 13.2315
3.3000 0.0000 13.1048
3.4000 0.0000 12.9771
3.5000 0.0000 12.8489
3.6000 0.0000 12.7208
3.7000 0.0000 12.5933
3.8000 0.0000 12.4668
3.9000 0.0000 12.3418
4.0000 0.0000 12.2187
4.1000 0.0000 12.0979
4.2000 0.0000 11.9797
4.3000 0.0000 11.8644
4.4000 0.0000 11.7523
4.5000 0.0000 11.6437
4.6000 0.0000 11.5387
4.7000 0.0000 11.4375
4.8000 0.0000 11.3404
4.9000 0.0000 11.2472
0.0000 0.1000 14.0998
0.1000 0.1000 14.1994
0.2000 0.1000 14.2928
0.3000 0.1000 14.3795
0.4000 0.1000 14.4591
0.5000 0.1000 14.5310
0.6000 0.1000 14.5949
0.7000 0.1000 14.6503
0.8000 0.1000 14.6971
0.9000 0.1000 14.7348
1.0000 0.1000 14.7633
1.1000 0.1000 14.7824
1.2000 0.1000 14.7920
1.3000 0.1000 14.7920
1.4000 0.1000 14.7824
1.5000 0.1000 14.7633
1.6000 0.1000 14.7348
1.7000 0.1000 14.6971
1.8000 0.1000 14.6503
1.9000 0.1000 14.5949
2.0000 0.1000 14.5310
2.1000 0.1000 14.4591
2.2000 0.1000 14.3795
2.3000 0.1000 14.2928
2.4000 0.1000 14.1994
2.5000 0.1000 14.0998
2.6000 0.1000 13.9946
2.7000 0.1000 13.8843
2.8000 0.1000 13.7695
2.9000 0.1000 13.6508
3.0000 0.1000 13.5287
3.1000 0.1000 13.4040
3.2000 0.1000 13.2770
3.3000 0.1000 13.1485
3.4000 0.1000 13.0190
3.5000 0.1000 12.8891
3.6000 0.1000 12.7592
