# x, y, val
0.0000 0.0000 13.4332
0.1000 0.0000 13.4008
0.2000 0.0000 13.2492
0.3000 0.0000 13.0740
0.4000 0.0000 12.9593
0.5000 0.0000 12.8909
0.6000 0.0000 12.8312
0.7000 0.0000 12.7061
0.8000 0.0000 12.5201
0.9000 0.0000 12.4269
1.0000 0.0000 12.3517
1.1000 0.0000 12.2280
1.2000 0.0000 12.1082
1.3000 0.0000 12.0338
1.4000 0.0000 11.9646
1.5000 0.0000 11.9167
1.6000 0.0000 11.8280
1.7000 0.0000 11.7679
1.8000 0.0000 11.7536
1.9000 0.0000 11.9392
2.0000 0.0000 12.2207
2.1000 0.0000 12.3990
2.2000 0.0000 12.5412
2.3000 0.0000 12.6689
2.4000 0.0000 12.8599
2.5000 0.0000 13.0976
2.6000 0.0000 13.1949
2.7000 0.0000 13.3394
2.8000 0.0000 13.5794
2.9000 0.0000 13.6596
3.0000 0.0000 13.8060
3.1000 0.0000 13.8003
3.2000 0.0000 13.8525
3.3000 0.0000 13.9076
3.4000 0.0000 13.9813
3.5000 0.0000 13.9754
3.6000 0.0000 13.9477
3.7000 0.0000 13.8625
3.8000 0.0000 13.7967
3.9000 0.0000 13.7894
4.0000 0.0000 13.7901
4.1000 0.0000 13.8797
4.2000 0.0000 13.8385
4.3000 0.0000 13.7729
4.4000 0.0000 13.7023
4.5000 0.0000 13.6427
4.6000 0.0000 13.5929
4.7000 0.0000 13.5150
4.8000 0.0000 13.5427
4.9000 0.0000 13.4830
0.0000 0.1000 13.2998
0.1000 0.1000 13.2659
0.2000 0.1000 13.1670
0.3000 0.1000 13.0397
0.4000 0.1000 12.9776
0.5000 0.1000 12.8692
0.6000 0.1000 12.7416
0.7000 0.1000 12.5975
0.8000 0.1000 12.4477
0.9000 0.1000 12.3938
1.0000 0.1000 12.3018
1.1000 0.1000 12.1666
1.2000 0.1000 12.0485
1.3000 0.1000 11.9153
1.4000 0.1000 11.8280
1.5000 0.1000 11.8058
1.6000 0.1000 11.7871
1.7000 0.1000 11.7975
1.8000 0.1000 11.8191
1.9000 0.1000 12.0023
2.0000 0.1000 12.2047
2.1000 0.1000 12.3321
2.2000 0.1000 12.4907
