# x, y, corr
0.0000 0.0000 0.0340
0.1000 0.0000 0.0254
0.2000 0.0000 0.0248
0.3000 0.0000 0.0169
0.4000 0.0000 0.0154
0.5000 0.0000 -0.0120
0.6000 0.0000 0.0076
0.7000 0.0000 0.0128
0.8000 0.0000 0.0177
0.9000 0.0000 -0.0140
1.0000 0.0000 -0.0229
1.1000 0.0000 0.0185
1.2000 0.0000 0.0510
1.3000 0.0000 0.0261
1.4000 0.0000 0.0071
1.5000 0.0000 -0.0011
1.6000 0.0000 -0.0498
1.7000 0.0000 -0.1016
1.8000 0.0000 -0.0984
1.9000 0.0000 -0.0289
2.0000 0.0000 0.0316
2.1000 0.0000 0.0651
2.2000 0.0000 0.0859
2.3000 0.0000 0.0357
2.4000 0.0000 0.0088
2.5000 0.0000 -0.0183
2.6000 0.0000 -0.0593
2.7000 0.0000 -0.0410
2.8000 0.0000 0.0044
2.9000 0.0000 0.0085
3.0000 0.0000 0.0106
3.1000 0.0000 0.0333
3.2000 0.0000 0.0597
3.3000 0.0000 0.0675
3.4000 0.0000 0.1096
3.5000 0.0000 0.1020
3.6000 0.0000 0.0882
3.7000 0.0000 0.0650
3.8000 0.0000 0.0945
3.9000 0.0000 0.0918
4.0000 0.0000 0.1087
4.1000 0.0000 0.0917
4.2000 0.0000 0.0805
4.3000 0.0000 0.0632
4.4000 0.0000 0.0285
4.5000 0.0000 0.0182
4.6000 0.0000 -0.0088
4.7000 0.0000 0.0196
4.8000 0.0000 0.0438
4.9000 0.0000 0.0782
0.0000 0.1000 0.0313
0.1000 0.1000 0.0203
0.2000 0.1000 0.0099
0.3000 0.1000 -0.0025
0.4000 0.1000 -0.0630
0.5000 0.1000 -0.0443
0.6000 0.1000 -0.0393
0.7000 0.1000 -0.0438
0.8000 0.1000 -0.0181
0.9000 0.1000 0.0105
1.0000 0.1000 0.0148
1.1000 0.1000 0.0056
1.2000 0.1000 0.0281
1.3000 0.1000 0.0028
1.4000 0.1000 -0.0218
1.5000 0.1000 -0.0519
1.6000 0.1000 -0.0598
1.7000 0.1000 -0.0893
1.8000 0.1000 -0.0850
1.9000 0.1000 -0.0234
2.0000 0.1000 0.0300
2.1000 0.1000 0.0524
2.2000 0.1000 0.0633
2.3000 0.1000 0.0267
2.4000 0.1000 0.0243
2.5000 0.1000 0.0207
2.6000 0.1000 -0.0071
2.7000 0.1000 -0.0047
2.8000 0.1000 0.0099
2.9000 0.1000 0.0040
3.0000 0.1000 -0.0143
3.1000 0.1000 0.0090
3.2000 0.1000 0.0297
3.3000 0.1000 0.0625
3.4000 0.1000 0.0942
3.5000 0.1000 0.1027
3.6000 0.1000 0.0385
3.7000 0.1000 0.0413
3.8000 0.1000 0.0979
3.9000 0.1000 0.1056
4.0000 0.1000 0.1101
4.1000 0.1000 0.0928
