# x, y, val
0.0000 0.0000 0.0771
0.1000 0.0000 0.0876
0.2000 0.0000 0.1002
0.3000 0.0000 0.1076
0.4000 0.0000 0.1113
0.5000 0.0000 0.1128
0.6000 0.0000 0.1125
0.7000 0.0000 0.1095
0.8000 0.0000 0.1019
0.9000 0.0000 0.0885
1.0000 0.0000 0.0771
1.1000 0.0000 0.0876
1.2000 0.0000 0.1002
1.3000 0.0000 0.1076
1.4000 0.0000 0.1113
1.5000 0.0000 0.1128
1.6000 0.0000 0.1125
1.7000 0.0000 0.1095
1.8000 0.0000 0.1019
1.9000 0.0000 0.0885
2.0000 0.0000 0.0771
2.1000 0.0000 0.0876
2.2000 0.0000 0.1002
2.3000 0.0000 0.1076
2.4000 0.0000 0.1113
2.5000 0.0000 0.1128
2.6000 0.0000 0.1125
2.7000 0.0000 0.1095
2.8000 0.0000 0.1019
2.9000 0.0000 0.0885
3.0000 0.0000 0.0771
3.1000 0.0000 0.0876
3.2000 0.0000 0.1002
3.3000 0.0000 0.1076
3.4000 0.0000 0.1113
3.5000 0.0000 0.1128
3.6000 0.0000 0.1125
3.7000 0.0000 0.1095
3.8000 0.0000 0.1019
3.9000 0.0000 0.0885
4.0000 0.0000 0.0771
4.1000 0.0000 0.0876
4.2000 0.0000 0.1002
4.3000 0.0000 0.1076
4.4000 0.0000 0.1113
4.5000 0.0000 0.1128
4.6000 0.0000 0.1125
4.7000 0.0000 0.1095
4.8000 0.0000 0.1019
4.9000 0.0000 0.0885
0.0000 0.1000 0.0878
0.1000 0.1000 0.0932
0.2000 0.1000 0.1019
0.3000 0.1000 0.1076
0.4000 0.1000 0.1107
0.5000 0.1000 0.1121
0.6000 0.1000 0.1121
0.7000 0.1000 0.1097
0.8000 0.1000 0.1038
0.9000 0.1000 0.0943
1.0000 0.1000 0.0878
1.1000 0.1000 0.0932
1.2000 0.1000 0.1019
1.3000 0.1000 0.1076
1.4000 0.1000 0.1107
1.5000 0.1000 0.1121
1.6000 0.1000 0.1121
1.7000 0.1000 0.1097
1.8000 0.1000 0.1038
1.9000 0.1000 0.0943
2.0000 0.1000 0.0878
2.1000 0.1000 0.0932
2.2000 0.1000 0.1019
2.3000 0.1000 0.1076
2.4000 0.1000 0.1107
2.5000 0.1000 0.1121
2.6000 0.1000 0.1121
2.7000 0.1000 0.1097
2.8000 0.1000 0.1038
2.9000 0.1000 0.0943
3.0000 0.1000 0.0878
3.1000 0.1000 0.0932
3.2000 0.1000 0.1019
3.3000 0.1000 0.1076
3.4000 0.1000 0.1107
3.5000 0.1000 0.1121
3.6000 0.1000 0.1121
3.7000 0.1000 0.1097
3.8000 0.1000 0.1038
3.9000 0.1000 0.0943
4.0000 0.1000 0.0878
4.1000 0.1000 0.0932
4.2000 0.1000 0.1019
4.3000 0.1000 0.1076
4.4000 0.1000 0.1107
4.5000 0.1000 0.1121
4.6000 0.1000 0.1121
4.7000 0.1000 0.1097
4.8000 0.1000 0.1038
4.9000 0.1000 0.0943
0.0000 0.2000 0.1014
0.1000 0.2000 0.1030
0.2000 0.2000 0.1067
0.3000 0.2000 0.1097
0.4000 0.2000 0.1117
0.5000 0.2000 0.1128
0.6000 0.2000 0.1131
0.7000 0.2000 0.1118
0.8000 0.2000 0.1085
0.9000 0.2000 0.1041
1.0000 0.2000 0.1014
1.1000 0.2000 0.1030
1.2000 0.2000 0.1067
1.3000 0.2000 0.1097
1.4000 0.2000 0.1117
1.5000 0.2000 0.1128
1.6000 0.2000 0.1131
1.7000 0.2000 0.1118
1.8000 0.2000 0.1085
1.9000 0.2000 0.1041
2.0000 0.2000 0.1014
2.1000 0.2000 0.1030
2.2000 0.2000 0.1067
2.3000 0.2000 0.1097
2.4000 0.2000 0.1117
2.5000 0.2000 0.1128
2.6000 0.2000 0.1131
2.7000 0.2000 0.1118
2.8000 0.2000 0.1085
2.9000 0.2000 0.1041
3.0000 0.2000 0.1014
3.1000 0.2000 0.1030
3.2000 0.2000 0.1067
3.3000 0.2000 0.1097
3.4000 0.2000 0.1117
3.5000 0.2000 0.1128
3.6000 0.2000 0.1131
3.7000 0.2000 0.1118
3.8000 0.2000 0.1085
3.9000 0.2000 0.1041
4.0000 0.2000 0.1014
4.1000 0.2000 0.1030
4.2000 0.2000 0.1067
4.3000 0.2000 0.1097
4.4000 0.2000 0.1117
4.5000 0.2000 0.1128
4.6000 0.2000 0.1131
4.7000 0.2000 0.1118
4.8000 0.2000 0.1085
4.9000 0.2000 0.1041
0.0000 0.3000 0.1100
0.1000 0.3000 0.1103
0.2000 0.3000 0.1115
0.3000 0.3000 0.1128
0.4000 0.3000 0.1139
0.5000 0.3000 0.1146
0.6000 0.3000 0.1150
0.7000 0.3000 0.1145
0.8000 0.3000 0.1130
0.9000 0.3000 0.1112
1.0000 0.3000 0.1100
1.1000 0.3000 0.1103
1.2000 0.3000 0.1115
1.3000 0.3000 0.1128
1.4000 0.3000 0.1139
1.5000 0.3000 0.1146
1.6000 0.3000 0.1150
1.7000 0.3000 0.1145
1.8000 0.3000 0.1130
1.9000 0.3000 0.1112
2.0000 0.3000 0.1100
2.1000 0.3000 0.1103
2.2000 0.3000 0.1115
2.3000 0.3000 0.1128
2.4000 0.3000 0.1139
2.5000 0.3000 0.1146
2.6000 0.3000 0.1150
2.7000 0.3000 0.1145
2.8000 0.3000 0.1130
2.9000 0.3000 0.1112
3.0000 0.3000 0.1100
3.1000 0.3000 0.1103
3.2000 0.3000 0.1115
3.3000 0.3000 0.1128
3.4000 0.3000 0.1139
3.5000 0.3000 0.1146
3.6000 0.3000 0.1150
3.7000 0.3000 0.1145
3.8000 0.3000 0.1130
3.9000 0.3000 0.1112
4.0000 0.3000 0.1100
4.1000 0.3000 0.1103
4.2000 0.3000 0.1115
4.3000 0.3000 0.1128
4.4000 0.3000 0.1139
4.5000 0.3000 0.1146
4.6000 0.3000 0.1150
4.7000 0.3000 0.1145
4.8000 0.3000 0.1130
4.9000 0.3000 0.1112
0.0000 0.4000 0.1148
0.1000 0.4000 0.1147
0.2000 0.4000 0.1151
0.3000 0.4000 0.1157
0.4000 0.4000 0.1163
0.5000 0.4000 0.1168
0.6000 0.4000 0.1170
0.7000 0.4000 0.1168
0.8000 0.4000 0.1162
0.9000 0.4000 0.1153
1.0000 0.4000 0.1148
1.1000 0.4000 0.1147
1.2000 0.4000 0.1151
1.3000 0.4000 0.1157
1.4000 0.4000 0.1163
1.5000 0.4000 0.1168
1.6000 0.4000 0.1170
1.7000 0.4000 0.1168
1.8000 0.4000 0.1162
1.9000 0.4000 0.1153
2.0000 0.4000 0.1148
2.1000 0.4000 0.1147
2.2000 0.4000 0.1151
2.3000 0.4000 0.1157
2.4000 0.4000 0.1163
2.5000 0.4000 0.1168
2.6000 0.4000 0.1170
2.7000 0.4000 0.1168
2.8000 0.4000 0.1162
2.9000 0.4000 0.1153
3.0000 0.4000 0.1148
3.1000 0.4000 0.1147
3.2000 0.4000 0.1151
3.3000 0.4000 0.1157
3.4000 0.4000 0.1163
3.5000 0.4000 0.1168
3.6000 0.4000 0.1170
3.7000 0.4000 0.1168
